total_hardening_effort,one_implementation,two_implementations,four_implementations
0.0,0.049600000000000005,0.07435000000000001,0.0681625
0.05,0.04766868521022828,0.07336261644528824,0.06742097939079468
0.1,0.04583156175422401,0.0723810086767213,0.06668161822077269
0.15,0.0440840358664323,0.07140594135892633,0.06594470766964909
0.2,0.042421737821888086,0.07043811602884797,0.06521052603585276
0.25,0.04084051100962764,0.06947817481237892,0.06447933898786883
0.3,0.039336401538996035,0.06852670394397972,0.06375139982449846
0.35,0.03790564835286106,0.0675842370992847,0.06302694974265106
0.4,0.036544673823011325,0.06665125855019402,0.06230621811139101
0.45,0.03525007480422224,0.06572820615147952,0.061589422751060705
0.5,0.03401861412462029,0.06481547416748164,0.06087677021639498
0.55,0.03284721249106728,0.06391341594704886,0.06016845608262991
0.6,0.031732940789323455,0.06302234645446347,0.05946466523369052
0.65,0.030673012759736242,0.06214254466371241,0.058765572151618525
0.7,0.02966477803013982,0.061274255823093975,0.05807134120647313
0.75,0.028705715488544184,0.06041769359680284,0.05738212694600427
0.8,0.027793426979041972,0.059573042089803595,0.056698074384460485
0.85,0.02692563130516958,0.05874045776198769,0.056019319289951845
0.9,0.026100158525727727,0.057920071237308926,0.05534598846984254
0.95,0.02531494452879825,0.057111989013307336,0.05467820005369845
1.0,0.02456802587038912,0.05631629507616088,0.05401606377336258
1.05,0.023857534864801754,0.05553305242614589,0.05335968123977423
1.1,0.023181694914443954,0.05476230451814352,0.05270914621619003
1.15,0.02253881606741051,0.054004076621595606,0.0520645448875015
1.2,0.021927290791723206,0.053258377104092924,0.05142595612538029
1.25,0.02134558995566353,0.05252519864256823,0.050793451749014076
1.3,0.0207922590041469,0.051804519365866476,0.05016709678122722
1.35,0.020265914321577302,0.05109630393227519,0.049546949699807774
1.4,0.01976523977208762,0.05040050454541664,0.04893306268388887
1.45,0.019288983408514388,0.04971706191173249,0.048325481855256446
1.5,0.018835954341877823,0.0490459061426284,0.047724247514477396
1.55,0.018405019763539025,0.048386957604190685,0.04712939437176295
1.6,0.017995102112588354,0.04774012771724021,0.0465409517725006
1.65,0.017605176381381867,0.047105319710348835,0.04595894391740551
1.7,0.017234267552488292,0.046482429328309934,0.04538339007725845
1.75,0.01688144816063763,0.045871345498429035,0.04481430480221119
1.8,0.016545835973574827,0.04527195095687998,0.0442516981256546
1.85,0.016226591786019654,0.04468412283725764,0.04369557576265596
1.9,0.01592291732121635,0.044107733223350314,0.043145939302984104
1.95,0.015634053234825942,0.043542649668051464,0.04260278639875005
2.0,0.015359277216169866,0.042988735680232475,0.04206611094670081
2.05,0.015097902182077048,0.042445851181305415,0.041535903265212046
2.1,0.014849274558818085,0.041913852933115926,0.04101215026603236
2.15,0.014612772647830482,0.041392594938722646,0.04049483562083946
2.2,0.014387805071148422,0.04088192881753975,0.03998393992267368
2.25,0.014173809292649829,0.040381704156243245,0.03947944084232011
2.3,0.01397025021142303,0.03989176883676971,0.038981313279715234
2.35,0.013776618823735765,0.03941196934266775,0.03848952951045791
2.4,0.013592430950260736,0.038942151044997486,0.03800405932750853
2.45,0.013417226025375073,0.03848215846891139,0.03752487017816288
2.5,0.013250565945506394,0.038031835541991806,0.03705192729639028
2.55,0.013092033973645665,0.03759102582536366,0.03658519383062751
