total_hardening_effort,one_implementation,two_implementations,four_implementations
0.0,0.049600000000000005,0.02485,0.0310375
0.05,0.04766868521022828,0.023881928587355702,0.030303311889349326
0.1,0.04583156175422401,0.02295636174373526,0.029585580782982485
0.15,0.0440840358664323,0.022071342758295056,0.02888405277484933
0.2,0.042421737821888086,0.021225007479600037,0.028198469604787203
0.25,0.04084051100962764,0.020415579872321052,0.027528569408685803
0.3,0.039336401538996035,0.019641367788884874,0.02687408741411345
0.35,0.03790564835286106,0.018900758945636552,0.02623475658468103
0.4,0.036544673823011325,0.018192217093582142,0.025610308216238584
0.45,0.03525007480422224,0.01751427837426316,0.025000472487827656
0.5,0.03401861412462029,0.01686554785177364,0.02440497897014966
0.55,0.03284721249106728,0.01624469621236866,0.023823557094156844
0.6,0.031732940789323455,0.015650456623528586,0.02325593658222653
0.65,0.030673012759736242,0.015081621744739709,0.022701847844240956
0.7,0.02966477803013982,0.014537040882628138,0.022161022340765012
0.75,0.028705715488544184,0.014015617283442177,0.021633192915389794
0.8,0.027793426979041972,0.01351630555621906,0.021118094098193377
0.85,0.02692563130516958,0.013038109220296223,0.020615462382159146
0.9,0.026100158525727727,0.012580078371135542,0.020125036474287462
0.95,0.02531494452879825,0.01214130745872226,0.019646557523036876
1.0,0.02456802587038912,0.011720933173079704,0.019179769323637946
1.05,0.023857534864801754,0.011318132431705877,0.018724418502733098
1.1,0.023181694914443954,0.010932120463991037,0.01828025468371293
1.15,0.02253881606741051,0.010562148987915293,0.017847030634039272
1.2,0.021927290791723206,0.010207504474553972,0.017424502395770702
1.25,0.02134558995566353,0.009867506496135815,0.01701242940043498
1.3,0.0207922590041469,0.009541506153606008,0.01661057456932585
1.35,0.020265914321577302,0.009228884579842712,0.016218704400238322
1.4,0.01976523977208762,0.008929051514863012,0.015836589041596405
1.45,0.019288983408514388,0.008641443949532226,0.015464002354870684
1.5,0.018835954341877823,0.008365524834459966,0.01510072196612973
1.55,0.018405019763539025,0.008100781850927418,0.014746529307518517
1.6,0.017995102112588354,0.007846726240843736,0.014401209649409386
1.65,0.017605176381381867,0.007602891692875142,0.01406455212392583
1.7,0.017234267552488292,0.007368833282029234,0.013736349740497112
1.75,0.01688144816063763,0.007144126460108839,0.013416399394060818
1.8,0.016545835973574827,0.006928366094575477,0.013104501866493186
1.85,0.016226591786019654,0.006721165553481807,0.012800461821810617
1.9,0.01592291732121635,0.00652215583424619,0.012504087795652302
1.95,0.015634053234825942,0.006330984734150579,0.01221519217952167
2.0,0.015359277216169866,0.00614731606054577,0.011933591200234402
2.05,0.015097902182077048,0.005970828878845956,0.011659104894992379
2.1,0.014849274558818085,0.005801216796487585,0.011391557082475832
2.15,0.014612772647830482,0.005638187281116064,0.011130775330321065
2.2,0.014387805071148422,0.00548146101134816,0.010876590919326976
2.25,0.014173809292649829,0.005330771258538061,0.010628838804711334
2.3,0.01397025021142303,0.005185863298051315,0.010387357574716491
2.35,0.013776618823735765,0.005046493848623424,0.01015198940684433
2.4,0.013592430950260736,0.004912430538448936,0.009922580021981462
2.45,0.013417226025375073,0.004783451396712409,0.009698978636657906
2.5,0.013250565945506394,0.004659344369335264,0.009481037913666019
2.55,0.013092033973645665,0.0045399068577718135,0.009268613911250575
2.6,0.012941233697287623,0.004424945279744429,0.009061566031066249
2.65,0.012797788037193013,0.0043142746508615035,0.008859756965084852
2.7,0.012661338304494093,0.004207718186113097,0.0086630526416217
2.75,0.012531543303785619,0.004105106920287841,0.008471322170638068
2.8,0.012408078479958631,0.004006279346400977,0.008284437788465293
2.85,0.012290635106643603,0.003911081071267511,0.008102274802085238
2.9,0.012178919514233727,0.003819364487396369,0.007924711533091575
2.95,0.012072652355557923,0.0037309884604213315,0.007751629261446876
3.0,0.011971567907367413,0.0036458180313225295,0.007582912169141504
3.05,0.011875413405889181,0.0035637241327283174,0.007418447283851877
3.1,0.01178394841478489,0.0034845833186217612,0.007258124422687792
3.15,0.011696944223934792,0.0034082775068086458,0.007101836136111097
3.2,0.011614183277543303,0.0033346937335349915,0.006949477652101075
3.25,0.011535458630136192,0.0032637239196716935,0.00680094682063545
3.3,0.011460573429089104,0.0031952646479120154,0.006656144058549677
3.35,0.011389340422393463,0.0031292169504544853,0.0065149722948317935
3.4,0.011321581490428913,0.0030654861066692234,0.006377336916404447
3.45,0.011257127200571492,0.0030039814502699517,0.006243145714441002
3.5,0.011195816383523814,0.002944616185537051,0.0061123088312578745
3.55,0.011137495730307883,0.0028873072121589557,0.00598473870782085
3.6,0.011082019408912786,0.0028319749582800795,0.005860350031899223
3.65,0.011029248699638713,0.0027785432213633166,0.005739059686897753
3.7,0.01097905164822544,0.0027269390164941067,0.005620786701392825
3.75,0.010931302735897961,0.002677092431771018,0.005505452199396146
3.8,0.010885882565504159,0.0026289364904449335,0.005392979351366018
3.85,0.010842677562959736,0.002582407019485215,0.005283293325983553
3.9,0.010801579693253854,0.0025374425242667294,0.005176321242708517
3.95,0.010762486190305322,0.0024939840690863346,0.0050719921251270285
4.0,0.010725299299993874,0.0024519751632315224,0.004970236855101107
4.05,0.010689926035723944,0.002411361652337193,0.004870988127727907
4.1,0.010656277945909747,0.0023720916147793075,0.004774180407114649
4.15,0.010624270892800238,0.0023341152628662174,0.004679749882973323
4.2,0.010593824842090918,0.0022973848485999837,0.004587634428037698
4.25,0.01056486366279637,0.002261854573790968,0.004497773556303595
4.3,0.010537314936883157,0.0022274805043193597,0.0044101083820919885
4.35,0.010511109778187004,0.0021942204883472504,0.004324581579933217
4.4,0.01048618266016151,0.0021620340782942883,0.004241137345269413
4.45,0.01046247125202766,0.002130882456398912,0.00415972135597115
4.5,0.010439916262914396,0.002100728363695724,0.004080280734663361
4.55,0.010418461293600566,0.002071536032247694,0.004002764011854656
4.6,0.01039805269548749,0.002043271120479602,0.003927121089863362
4.65,0.010378639436449524,0.0020159006514665016,0.0038533032075328574
4.7,0.010360172973227156,0.001989392954038015,0.003781262905728161
4.75,0.010342607130043577,0.0019637176065658863,0.0037109539936050094
4.8,0.010325897983141194,0.0019388453833086244,0.003642331515642306
4.85,0.01031000375094934,0.001914748203193068,0.003575351719428153
4.9,0.010294884689608604,0.0018913990809184564,0.003509972024189421
